X (ms);C0:Drive_1.r61[0];C1:Drive_1.r80[0];C2:Drive_1.r70
55580,000000;1502,280151;-0,268264;650,400024
55600,000000;1499,912720;-0,250969;652,200012
55620,000000;1501,808105;-0,293286;651,299988
55640,000000;1499,383423;-0,259024;652,200012
55660,000000;1501,335938;-0,294329;651,299988
55680,000000;1498,968506;-0,269227;652,200012
55700,000000;1501,808105;-0,286459;651,299988
55720,000000;1499,383423;-0,286165;651,299988
55740,000000;1502,337402;-0,278803;650,400024
55760,000000;1500,384766;-0,267374;651,299988
55780,000000;1502,759399;-0,270389;650,400024
55800,000000;1499,912720;-0,255501;651,299988
55820,000000;1501,808105;-0,308043;650,400024
55840,000000;1499,383423;-0,263411;651,299988
55860,000000;1501,350342;-0,306999;650,400024
55880,000000;1498,496460;-0,276958;651,299988
55900,000000;1501,350342;-0,304024;650,400024
55920,000000;1498,496460;-0,243040;651,299988
55940,000000;1500,863892;-0,295189;650,400024
55960,000000;1499,383423;-0,282030;650,400024
55980,000000;1500,863892;-0,285888;650,400024
56000,000000;1499,383423;-0,282659;651,299988
56020,000000;1500,863892;-0,293931;650,400024
56040,000000;1499,383423;-0,286788;650,400024
56060,000000;1500,863892;-0,296502;649,500000
56080,000000;1498,968506;-0,298730;649,500000
56100,000000;1500,863892;-0,286515;649,500000
56120,000000;1498,896973;-0,266212;650,400024
56140,000000;1502,280151;-0,296141;649,500000
56160,000000;1498,896973;-0,268635;651,299988
56180,000000;1502,280151;-0,305994;650,400024
56200,000000;1499,912720;-0,245810;651,299988
56220,000000;1501,808105;-0,299384;650,400024
56240,000000;1498,896973;-0,245608;651,299988
56260,000000;1501,350342;-0,296611;650,400024
56280,000000;1498,896973;-0,241792;651,299988
56300,000000;1501,350342;-0,305841;651,299988
56320,000000;1498,968506;-0,282239;651,299988
56340,000000;1501,335938;-0,273971;651,299988
56360,000000;1498,496460;-0,285421;652,200012
56380,000000;1501,335938;-0,298986;651,299988
56400,000000;1498,496460;-0,256356;652,200012
56420,000000;1500,863892;-0,291853;650,400024
56440,000000;1498,403442;-0,293011;651,299988
56460,000000;1502,280151;-0,296605;650,400024
56480,000000;1499,440674;-0,235566;652,200012
56500,000000;1502,830933;-0,296373;650,400024
56520,000000;1499,912720;-0,255174;651,299988
56540,000000;1502,280151;-0,269041;650,400024
56560,000000;1499,383423;-0,246492;651,299988
56580,000000;1501,350342;-0,278261;650,400024
56600,000000;1499,876831;-0,236652;651,299988
56620,000000;1502,337402;-0,277292;650,400024
56640,000000;1499,440674;-0,244689;650,400024
56660,000000;1501,335938;-0,275203;649,500000
