X (ms);C0:Drive_1.r63[0];C1:Drive_1.r80[0];C2:Drive_1.r76;C3:Drive_1.r78;C4:Drive_1.r70
10432,000000;623,605896;0,812407;0,877895;0,129810;588,299988
10440,000000;626,527710;0,753245;0,887877;0,120357;586,500000
10448,000000;628,718811;0,815537;0,882158;0,130310;592,000000
10456,000000;631,247742;0,822457;0,877156;0,131416;588,299988
10464,000000;633,768555;0,760945;0,890909;0,121588;584,600037
10472,000000;636,287354;0,836953;0,885063;0,133732;588,299988
10480,000000;638,787659;0,793165;0,871400;0,126736;586,500000
10488,000000;639,777161;0,802414;0,888883;0,128214;592,000000
10496,000000;643,792114;0,830036;0,890991;0,132627;588,299988
10504,000000;646,270996;0,803796;0,876879;0,128435;583,700012
10512,000000;648,185120;0,751937;0,889572;0,120148;587,400024
10520,000000;649,991455;0,761593;0,894201;0,121691;586,500000
10528,000000;652,431030;0,744216;0,876445;0,125881;592,000000
10536,000000;655,112366;0,709612;0,885068;0,113385;587,400024
10544,000000;657,250549;0,701070;0,896485;0,112020;584,600037
10552,000000;659,718750;0,817259;0,886569;0,130586;588,299988
10560,000000;662,325745;0,703555;0,878744;0,112418;587,400024
10568,000000;664,060303;0,776326;0,897846;0,124045;592,000000
10576,000000;667,658264;0,728698;0,884456;0,116435;588,299988
10584,000000;669,321411;0,796448;0,871647;0,127260;584,600037
10592,000000;671,644165;0,808368;0,876248;0,129165;588,299988
10600,000000;674,393433;0,824723;0,891874;0,131778;586,500000
10608,000000;677,114685;0,843111;0,890917;0,134716;592,000000
10616,000000;678,999695;0,836215;0,873864;0,133615;588,299988
10624,000000;681,243164;0,751706;0,890156;0,120111;583,700012
10632,000000;683,691284;0,825017;0,898700;0,131825;589,200012
10640,000000;686,524109;0,703902;0,882295;0,112473;587,400024
10648,000000;688,659119;0,748437;0,875513;0,119589;592,000000
10656,000000;690,419983;0,769802;0,894238;0,118256;588,299988
10664,000000;694,063782;0,730847;0,889311;0,116778;584,600037
10672,000000;695,714966;0,880612;0,876803;0,140709;588,299988
10680,000000;698,340820;0,810729;0,879739;0,129542;586,500000
10688,000000;701,017029;0,836252;0,893499;0,133621;592,000000
10696,000000;703,146057;0,830275;0,897571;0,132665;588,299988
10704,000000;705,341309;0,736781;0,887861;0,117727;583,700012
10712,000000;707,608765;0,755513;0,873662;0,120720;588,299988
10720,000000;709,893494;0,745769;0,895291;0,119163;587,400024
10728,000000;712,764038;0,806630;0,890054;0,128887;592,000000
10736,000000;715,563843;0,857674;0,885422;0,137043;588,299988
10744,000000;717,754578;0,782775;0,877497;0,125076;583,700012
10752,000000;718,860596;0,813939;0,893601;0,130055;589,200012
10760,000000;722,655518;0,764884;0,903418;0,122217;587,400024
10768,000000;724,489624;0,799488;0,884077;0,127746;592,000000
10776,000000;726,792786;0,782058;0,879957;0,124961;588,299988
10784,000000;729,230896;0,800769;0,873743;0,127951;583,700012
10792,000000;732,380249;0,867836;0,896139;0,138667;589,200012
10800,000000;734,427063;0,778054;0,902271;0,124321;586,500000
10808,000000;736,949524;0,799692;0,886226;0,124753;592,000000
10816,000000;739,336426;0,762426;0,873308;0,121824;589,200012
10824,000000;740,914551;0,785298;0,883659;0,125479;584,600037
10832,000000;743,740173;0,843764;0,897235;0,134821;588,299988
10840,000000;746,916260;0,747013;0,896121;0,119361;586,500000
10848,000000;748,944275;0,843641;0,884437;0,134801;592,000000
10856,000000;750,866699;0,778408;0,873273;0,124378;588,299988
10864,000000;752,982788;0,762147;0,888338;0,121780;584,600037
10872,000000;756,224792;0,828684;0,898516;0,132411;588,299988
10880,000000;758,334351;0,745922;0,896598;0,119187;586,500000
10888,000000;760,881287;0,791165;0,886676;0,126416;592,900024
10896,000000;763,258484;0,814117;0,872942;0,130084;588,299988
10904,000000;765,276978;0,814071;0,876342;0,130076;584,600037
10912,000000;767,303284;0,806163;0,897741;0,128813;588,299988
10920,000000;770,422791;0,765785;0,905546;0,122029;586,500000
10928,000000;772,228455;0,811045;0,884818;0,129593;592,000000
10936,000000;775,059570;0,813326;0,890493;0,129957;587,400024
10944,000000;777,564209;0,840155;0,880167;0,127064;583,700012
10952,000000;779,961060;0,759729;0,884593;0,122565;588,299988
10960,000000;782,217651;0,689589;0,888986;0,110186;586,500000
10968,000000;784,862671;0,860750;0,900081;0,137535;592,000000
10976,000000;787,603638;0,800761;0,900188;0,127950;587,400024
10984,000000;790,911011;0,796043;0,882792;0,127196;583,700012
10992,000000;791,079163;0,860768;0,873914;0,137538;588,299988
11000,000000;794,399414;0,845808;0,880502;0,135147;586,500000
11008,000000;797,092712;0,793695;0,890959;0,126820;592,000000
11016,000000;798,489380;0,741177;0,904171;0,118429;588,299988
11024,000000;801,417847;0,848050;0,892893;0,135506;583,700012
11032,000000;804,068909;0,920479;0,898367;0,147079;589,200012
11040,000000;806,373779;0,790296;0,880964;0,126277;586,500000
11048,000000;808,871216;0,879310;0,875434;0,140501;592,000000
